Discipline	Name	Color	Linetype	LineWeight	Plot	Description
Architecture	A-ANNO-DIMS	yellow	Continuous	0.25	P	Witness/extension lines, dimension terminators, dimension text
Architecture	A-ANNO-KEYN	blue	Continuous	0.5	P	Reference keynotes with associated leaders
Architecture	A-ANNO-LEGN	blue	Continuous	0.5	P	Legends and symbols keys
Architecture	A-ANNO-MASK	251	Continuous	0	P	Text/shape mask for use with photo backgrounds
Architecture	A-ANNO-MATC	white	Continuous	0.7	P	Match lines
Architecture	A-ANNO-NOTE	yellow	Continuous	0.3	P	General notes and general remarks
Architecture	A-ANNO-NPLT	55	Continuous	0.09	N	Non-plotting graphic information
Architecture	A-ANNO-PATT	8	Continuous	0.18	P	Patterning, poche, shading, and hatching
Architecture	A-ANNO-RDME	blue	Continuous	0.5	P	Read-me information
Architecture	A-ANNO-REDL	red	Continuous	0.13	P	Redlines
Architecture	A-ANNO-REVS	cyan	Continuous	0.4	P	Revisions
Architecture	A-ANNO-SCHD	green	Continuous	0.35	P	Schedules
Architecture	A-ANNO-SYMB	blue	Continuous	0.35	P	Miscellaneous symbols
Architecture	A-ANNO-TEXT	yellow	Continuous	0.25	P	Miscellaneous text and callouts with associated leaders
Architecture	A-AREA-IDEN	yellow	Continuous	0.3	P	Room numbers, tenant identifications, area calculations
Architecture	A-AREA-LINE	cyan	Continuous	0.4	P	Architectural area calculation boundary lines
Architecture	A-AREA-OCCP	yellow	Continuous	0.3	P	Occupant or employee names
Architecture	A-AREA-PATT	8	Continuous	0.18	P	Area cross hatching
Architecture	A-CLNG-ACCS	magenta	Continuous	0.3	P	Access panels
Architecture	A-CLNG-CTLJ	yellow	Continuous	0.3	P	Ceiling control joints
Architecture	A-CLNG-GRID	red	Continuous	0.13	P	Ceiling grid
Architecture	A-CLNG-LITE	cyan	Continuous	0.4	P	Specialty ceiling lights not shown on the Electrical Lighting Plan
Architecture	A-CLNG-LITE-LOCS	red	CENTER2	0.13	P	Lite layout lines
Architecture	A-CLNG-OPNG	8	Continuous	0.18	P	Openings, ceiling/roof penetrations (see also A-FLOR-OVHD in Floor Plan model file)
Architecture	A-CLNG-PATT	30	Continuous	0.18	P	Ceiling patterns
Architecture	A-CLNG-SFFT	yellow	Continuous	0.13	P	Soffits
Architecture	A-CLNG-SUSP	blue	Continuous	0.5	P	Suspended elements, ceiling mounted specialties (e.g., clocks, fans, etc.)
Architecture	A-CLNG-TEES	blue	Continuous	0.5	P	Main tees
Architecture	A-COLS-ENCL	cyan	Continuous	0.4	P	Column enclosures/fire protection
Architecture	A-DETL-BYND	251	Continuous	0.18	P	Graphics, gridlines, non-text items in background or beyond
Architecture	A-DETL-HDDN	11	HIDDEN2	.13	P	Hidden Lines 
Architecture	A-DETL-INPD	blue	Continuous	0.5	P	Inch-pound specific dimensions and notes
Architecture	A-DETL-MEDM	green	Continuous	0.35	P	Graphics, gridlines, non-text items
Architecture	A-DETL-METR	blue	Continuous	0.5	P	Metric specific dimensions and notes
Architecture	A-DETL-PATT	10	Continuous	0.13	P	Graphics, gridlines, non-text items hatch pattern
Architecture	A-DETL-THIN	yellow	Continuous	0.25	P	Graphics, gridlines, non-text items
Architecture	A-DETL-WIDE	cyan	Continuous	0.35	P	Graphics, gridlines, non-text items
Architecture	A-DETL-XTHN	red	Continuous	0.18	P	Graphics, gridlines, non-text items
Architecture	A-DETL-XWID	blue	Continuous	0.5	P	Graphics, gridlines, non-text items
Architecture	A-DOOR-FULL	green	Continuous	0.13	P	Full height (to ceiling) door: swing and leaf
Architecture	A-DOOR-IDEN	green	Continuous	0.13	P	Door number and symbol, hardward group, etc.
Architecture	A-DOOR-PRHT	yellow	Continuous	0.13	P	Partial height door: swing and leaf
Architecture	A-DOOR-SYMB	red	Continuous	0.13	P	Miscellaneous door symbols (e.g., overhead, bifold, pocket, etc.)
Architecture	A-ELEV-BYND	251	Continuous	0.35	P	Graphics, gridlines, non-text items in background or beyond 
Architecture	A-ELEV-CASE	green	Continuous	0.13	P	Wall-mounted casework
Architecture	A-ELEV-FIXT	yellow	Continuous	0.3	P	Plumbing fixtures
Architecture	A-ELEV-FNSH	green	Continuous	0.13	P	Finishes, woodwork, trim
Architecture	A-ELEV-HDDN	11	HIDDEN2	.13	P	Hidden Lines
Architecture	A-ELEV-IDEN	yellow	Continuous	0.3	P	Component identification numbers
Architecture	A-ELEV-MEDM	green	Continuous	0.35	P	Graphics, gridlines, non-text items
Architecture	A-ELEV-OTLN	blue	Continuous	1	P	Building outlines
Architecture	A-ELEV-PATT	10	Continuous	0.18	P	Textures and hatch patterns
Architecture	A-ELEV-SIGN	red	Continuous	0.13	P	Signage
Architecture	A-ELEV-THIN	yellow	Continuous	0.25	P	Graphics, gridlines, non-text items
Architecture	A-ELEV-WIDE	cyan	Continuous	0.35	P	Graphics, gridlines, non-text items
Architecture	A-ELEV-XTHN	red	Continuous	0.18	P	Graphics, gridlines, non-text items
Architecture	A-ELEV-XWID	blue	Continuous	0.5	P	Graphics, gridlines, non-text items
Architecture	A-EQPM-ACCS	218	Continuous	0.09	P	Equipment access
Architecture	A-EQPM-FIXD	62	Continuous	0.3	P	Fixed equipment
Architecture	A-EQPM-IDEN	yellow	Continuous	0.3	P	Equipment identification numbers
Architecture	A-EQPM-MOVE	green	Continuous	0.25	P	Moveable equipment
Architecture	A-EQPM-OVHD	red	HIDDEN	.18	P	Overhead, ceiling mounted, or suspended equipment
Architecture	A-FLOR-CASE	green	Continuous	0.13	P	Casework (manufactured cabinets)
Architecture	A-FLOR-CASE-OVHD	red	HIDDEN2	0.13	P	Overhead casework
Architecture	A-FLOR-EVTR	yellow	Continuous	0.3	P	Elevator cars and equipment
Architecture	A-FLOR-FIXT	62	Continuous	0.13	P	Plumbing fixtures
Architecture	A-FLOR-HRAL	red	Continuous	0.13	P	Stair and balcony handrails, guard rails
Architecture	A-FLOR-IDEN	green	Continuous	0.3	P	Room name, space identification text
Architecture	A-FLOR-LEVL	magenta	Continuous	0.3	P	Level changes, shafts, ramps, pits, breaks in construction, and depressions
Architecture	A-FLOR-NUMB	green	Continuous	0.3	P	Room/space identification number and symbol
Architecture	A-FLOR-OTLN	cyan	Continuous	0.4	P	Floor outline/perimeter/building footprint
Architecture	A-FLOR-OTLN-RPRM	yellow	Continuous	0.3	P	Room perimeter shape (interior walls)
Architecture	A-FLOR-OVHD	8	DASHED	0.18	P	Overhead items (skylights, overhangs, etc.)
Architecture	A-FLOR-PATT	251	Continuous	0.18	P	Paving, tile, carpet patterns
Architecture	A-FLOR-PATT-ACCS	218	HIDDEN2	0.18	P	Accesible areas, clear floor areas, handicapped
Architecture	A-FLOR-PATT-OTLN	red	Continuous	0.13	P	Floor pattern changes
Architecture	A-FLOR-RAIS	green	Continuous	0.13	P	Access (raised) flooring
Architecture	A-FLOR-SIGN	red	Continuous	0.13	P	Signage
Architecture	A-FLOR-SPCL	green	Continuous	0.13	P	Architectural specialties (e.g., toilet room accessories, display cases)
Architecture	A-FLOR-STRS	red	Continuous	0.13	P	Stair risers/treads, escalators, ladders
Architecture	A-FLOR-TPTN	red	Continuous	0.13	P	Toilet partitions
Architecture	A-FLOR-WDWK	green	Continuous	0.13	P	Architectural woodwork (field built cabinets and counters)
Architecture	A-GLAZ-FULL	52	Continuous	0.13	P	Full height glazed walls and partitions (see A-WALL-CWMG for curtain walls)
Architecture	A-GLAZ-IDEN	green	Continuous	0.3	P	Window number and symbol
Architecture	A-GLAZ-PRHT	red	Continuous	0.13	P	Windows and partial height glazed partitions
Architecture	A-GLAZ-SILL	red	Continuous	0.13	P	Window sills
Architecture	A-RVIT-BYND	251	Continuous	0.18	P	Graphics, gridlines, non-text items in background or beyond
Architecture	A-RVIT-HDDN	11	HIDDEN2	.13	P	Hidden Lines 
Architecture	A-RVIT-DIMS	yellow	Continuous	0.35	P	Inch-pound specific dimensions
Architecture	A-RVIT-TEXT	yellow	Continuous	0.35	P	Inch-pound specific text and notes
Architecture	A-RVIT-LEDR	yellow	Continuous	0.35	P	Inch-pound specific leaders
Architecture	A-RVIT-MEDM	green	Continuous	0.25	P	Graphics, gridlines, non-text items
Architecture	A-RVIT-PATT	10	Continuous	0.13	P	Graphics, gridlines, non-text items hatch pattern
Architecture	A-RVIT-THIN	yellow	Continuous	0.15	P	Graphics, gridlines, non-text items
Architecture	A-RVIT-WIDE	cyan	Continuous	0.35	P	Graphics, gridlines, non-text items
